image_name,image_size,cp,noobpp,ct,cm,dt,dm
./images/10.ppm,786432,49.5157,4.03875,0.117471,4088,0.2858,10772
./images/11.png,3072,50.6063,3.9515,0.001696,1852,0.001803,3360
./images/12.png,6912,47.7629,4.17896,0.001664,1816,0.003063,3368
./images/13.png,19200,54.9043,3.60766,0.003337,3424,0.006813,3844
./images/14.png,768,25.4069,5.96745,0.000566,1900,0.001025,3328
./images/2.bmp,1499520,4.61917,7.63047,0.249511,4832,0.911466,24172
./images/3.bmp,1065024,7.70259,7.38379,0.211511,4492,0.714662,16792
./images/4.bmp,551304,6.36351,7.49092,0.113906,3916,0.388578,11792
./images/5.bmp,407286,12.0792,7.03366,0.118462,3864,0.316639,8820
./images/6.bmp,203577,10.5826,7.15339,0.059825,3456,0.133702,6020
./images/7.bmp,44016,6.80832,7.45533,0.008413,3468,0.029187,4120
./images/8.ppm,49152,55.7571,3.53943,0.019978,3556,0.028375,3648
./images/9.png,12288,7.95085,7.36393,0.003106,1816,0.007592,3668
./images/colombia.jpg,196608,31.0046,5.51963,0.047177,3668,0.087444,5148
